text,corrAns,letterColor,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
verde,down,green,,0,0,0,5,,,,,,,,,right,0,1.03508496284,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
azul,right,blue,,0,1,1,0,,,,,,,,,right,1,0.468612909317,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
rojo,left,red,,0,2,2,8,,,,,,,,,right,0,0.483700037003,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
rojo,left,red,,0,3,3,9,,,,,,,,,right,0,0.301992893219,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
azul,right,blue,,0,4,4,1,,,,,,,,,right,1,0.051549911499,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
rojo,left,red,,0,5,5,11,,,,,,,,,right,0,0.0502300262451,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
azul,right,blue,,0,6,6,2,,,,,,,,,right,1,0.318562030792,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
verde,down,green,,0,7,7,7,,,,,,,,,right,0,0.152796983719,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
verde,down,green,,0,8,8,4,,,,,,,,,right,0,0.301580905914,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
azul,right,blue,,0,9,9,3,,,,,,,,,right,1,0.452147960663,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
rojo,left,red,,0,10,10,10,,,,,,,,,right,0,0.00140500068665,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
verde,down,green,,0,11,11,6,,,,,,,,,right,0,0.29964184761,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
neutral3,left,red,neutral,,,,,0,0,0,0,0,0,0,8,right,0,1.06859922409,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
negativa3,left,red,negative,,,,,0,0,0,0,0,1,1,7,right,0,0.452342987061,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
negativa1,right,blue,negative,,,,,0,0,0,0,0,2,2,1,right,1,0.4349629879,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
neutral2,down,green,neutral,,,,,0,0,0,0,0,3,3,5,right,0,0.535252094269,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
positiva3,left,red,positive,,,,,0,0,0,0,0,4,4,6,right,0,0.485460996628,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
negativa2,down,green,negative,,,,,0,0,0,0,0,5,5,4,right,0,0.451125860214,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
neutral1,right,blue,neutral,,,,,0,0,0,0,0,6,6,2,right,1,0.517747163773,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
positiva1,right,blue,positive,,,,,0,0,0,0,0,7,7,0,right,1,0.535148143768,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
positiva2,down,green,positive,,,,,0,0,0,0,0,8,8,3,right,0,0.585293054581,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
,,,,,,,,0,0,0,0,,,,,,,,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
neutral4,right,blue,neutral,,,,,1,0,1,0,0,0,0,2,right,1,0.350598812103,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
negativa4,right,blue,negative,,,,,1,0,1,0,0,1,1,1,right,1,0.384840965271,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
positiva4,right,blue,positive,,,,,1,0,1,0,0,2,2,0,right,1,0.401354789734,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
neutral5,down,green,neutral,,,,,1,0,1,0,0,3,3,5,right,0,0.469867944717,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
positiva6,left,red,positive,,,,,1,0,1,0,0,4,4,6,right,0,0.435610055923,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
negativa6,left,red,negative,,,,,1,0,1,0,0,5,5,7,right,0,0.48490691185,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
positiva5,down,green,positive,,,,,1,0,1,0,0,6,6,3,right,0,0.401115894318,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
negativa5,down,green,negative,,,,,1,0,1,0,0,7,7,4,right,0,0.70285487175,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
neutral6,left,red,neutral,,,,,1,0,1,0,0,8,8,8,right,0,0.501215934753,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
,,,,,,,,1,0,1,0,,,,,,,,2018_Sep_15_1230,60.1609051308,emo_stroop,01,3,
