text,congruent,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
verde,cong,down,green,0,0,0,6,,,,,right,0,2.51237106323,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
rojo,incong,down,green,0,1,1,2,,,,,down,1,0.999182939529,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
azul,incong,down,green,0,2,2,9,,,,,down,1,0.583724021912,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
verde,cong,down,green,0,3,3,5,,,,,down,1,0.616843938828,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
verde,incong,right,blue,0,4,4,7,,,,,right,1,0.998807191849,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
rojo,cong,left,red,0,5,5,0,,,,,left,1,0.5501101017,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
azul,cong,right,blue,0,6,6,11,,,,,right,1,1.01583909988,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
azul,cong,right,blue,0,7,7,10,,,,,right,1,0.965698003769,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
verde,incong,left,red,0,8,8,4,,,,,down,0,0.783102989197,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
rojo,cong,left,red,0,9,9,1,,,,,left,1,1.23157501221,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
azul,incong,left,red,0,10,10,8,,,,,down,0,1.34870004654,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
rojo,incong,right,blue,0,11,11,3,,,,,right,1,1.33188199997,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
rojo,incong,down,green,,,,,0,0,0,2,down,1,1.26525688171,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
verde,incong,left,red,,,,,0,1,1,4,left,1,0.982846021652,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
rojo,cong,left,red,,,,,0,2,2,0,left,1,0.616221189499,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
rojo,incong,right,blue,,,,,0,3,3,3,right,1,0.982266902924,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
azul,cong,right,blue,,,,,0,4,4,10,right,1,1.13276791573,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
azul,cong,right,blue,,,,,0,5,5,11,right,1,0.966128110886,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
azul,incong,down,green,,,,,0,6,6,9,right,0,0.783008813858,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
azul,incong,left,red,,,,,0,7,7,8,right,0,0.400689125061,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
verde,incong,right,blue,,,,,0,8,8,7,down,0,1.6974568367,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
verde,cong,down,green,,,,,0,9,9,6,down,1,1.61445999146,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
rojo,cong,left,red,,,,,0,10,10,1,left,1,0.766520023346,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
verde,cong,down,green,,,,,0,11,11,5,down,1,1.43136882782,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
azul,cong,right,blue,,,,,1,0,12,10,left,0,2.47906208038,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
azul,incong,left,red,,,,,1,1,13,8,left,1,2.24627900124,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
azul,cong,right,blue,,,,,1,2,14,11,right,1,1.88014888763,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
rojo,incong,down,green,,,,,1,3,15,2,down,1,0.533398151398,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
verde,cong,down,green,,,,,1,4,16,6,right,0,1.26523423195,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
rojo,cong,left,red,,,,,1,5,17,1,left,1,1.46466398239,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
rojo,cong,left,red,,,,,1,6,18,0,left,1,0.733230829239,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
rojo,incong,right,blue,,,,,1,7,19,3,right,1,1.68059897423,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
verde,incong,left,red,,,,,1,8,20,4,left,1,1.2818069458,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
verde,cong,down,green,,,,,1,9,21,5,down,1,1.67984390259,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
verde,incong,right,blue,,,,,1,10,22,7,right,1,1.01582193375,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
azul,incong,down,green,,,,,1,11,23,9,down,1,2.36268186569,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
rojo,incong,down,green,,,,,2,0,24,2,down,1,0.616881847382,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
verde,incong,right,blue,,,,,2,1,25,7,right,1,1.5479631424,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
rojo,incong,right,blue,,,,,2,2,26,3,right,1,0.899336099625,2018_Aug_01_1447,60.2330450667,emo_stroop,01,,
