text,corrAns,letterColor,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,left,red,,0,0,0,11,,,,,,,,,left,1,0.00162315368652,2018_Aug_29_1346,59.9552869469,emo_stroop,01,,
azul,right,blue,,0,1,1,1,,,,,,,,,left,0,0.0509889125824,2018_Aug_29_1346,59.9552869469,emo_stroop,01,,
verde,down,green,,0,2,2,6,,,,,,,,,left,0,0.134614944458,2018_Aug_29_1346,59.9552869469,emo_stroop,01,,
azul,right,blue,,0,3,3,2,,,,,,,,,left,0,0.0681209564209,2018_Aug_29_1346,59.9552869469,emo_stroop,01,,
azul,right,blue,,0,4,4,3,,,,,,,,,left,0,0.167862892151,2018_Aug_29_1346,59.9552869469,emo_stroop,01,,
rojo,left,red,,0,5,5,8,,,,,,,,,left,1,0.134378910065,2018_Aug_29_1346,59.9552869469,emo_stroop,01,,
verde,down,green,,0,6,6,5,,,,,,,,,left,0,0.184563159943,2018_Aug_29_1346,59.9552869469,emo_stroop,01,,
rojo,left,red,,0,7,7,10,,,,,,,,,left,1,0.116884946823,2018_Aug_29_1346,59.9552869469,emo_stroop,01,,
verde,down,green,,0,8,8,7,,,,,,,,,left,0,0.018609046936,2018_Aug_29_1346,59.9552869469,emo_stroop,01,,
rojo,left,red,,0,9,9,9,,,,,,,,,left,1,0.0844600200653,2018_Aug_29_1346,59.9552869469,emo_stroop,01,,
rojo,right,blue,,0,10,10,0,,,,,,,,,left,0,0.15064406395,2018_Aug_29_1346,59.9552869469,emo_stroop,01,,
verde,down,green,,0,11,11,4,,,,,,,,,left,0,0.0846149921417,2018_Aug_29_1346,59.9552869469,emo_stroop,01,,
positiva6,left,red,positive,,,,,0,0,0,0,0,0,0,5,left,1,0.583340167999,2018_Aug_29_1346,59.9552869469,emo_stroop,01,,
negativa4,right,blue,negative,,,,,0,0,0,0,0,1,1,0,left,0,0.251047849655,2018_Aug_29_1346,59.9552869469,emo_stroop,01,,
neutral5,down,green,neutral,,,,,0,0,0,0,0,2,2,4,left,0,0.101045846939,2018_Aug_29_1346,59.9552869469,emo_stroop,01,,
positiva5,down,green,positive,,,,,0,0,0,0,0,3,3,2,left,0,0.067831993103,2018_Aug_29_1346,59.9552869469,emo_stroop,01,,
neutral6,left,red,neutral,,,,,0,0,0,0,0,4,4,7,left,1,0.067577123642,2018_Aug_29_1346,59.9552869469,emo_stroop,01,,
negativa5,down,green,negative,,,,,0,0,0,0,0,5,5,3,left,0,0.0517859458923,2018_Aug_29_1346,59.9552869469,emo_stroop,01,,
negativa6,left,red,negative,,,,,0,0,0,0,0,6,6,6,left,1,0.018040895462,2018_Aug_29_1346,59.9552869469,emo_stroop,01,,
neutral4,right,blue,neutral,,,,,0,0,0,0,0,7,7,1,left,0,0.333770990372,2018_Aug_29_1346,59.9552869469,emo_stroop,01,,
,,,,,,,,0,0,0,0,,,,,,,,2018_Aug_29_1346,59.9552869469,emo_stroop,01,,
