text,corrAns,letterColor,condition,trial_blocks_practice.thisRepN,trial_blocks_practice.thisTrialN,trial_blocks_practice.thisN,trial_blocks_practice.thisIndex,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks_exp.thisRepN,trial_blocks_exp.thisTrialN,trial_blocks_exp.thisN,trial_blocks_exp.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,left,red,,0,0,0,0,0,0,0,5,,,,,,,,,left,1,1.46849799156,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
verde,down,green,,0,0,0,0,0,1,1,3,,,,,,,,,right,0,1.11700797081,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
azul,right,blue,,0,0,0,0,0,2,2,1,,,,,,,,,right,1,0.852121829987,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
verde,down,green,,0,0,0,0,0,3,3,2,,,,,,,,,left,0,1.21766090393,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
rojo,left,red,,0,0,0,0,0,4,4,4,,,,,,,,,right,0,1.66792798042,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
azul,right,blue,,0,0,0,0,0,5,5,0,,,,,,,,,right,1,1.16906785965,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
,,,,0,0,0,0,,,,,,,,,,,,,,,,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
azul,right,blue,,1,0,1,0,0,0,0,0,,,,,,,,,right,1,0.317786931992,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
verde,down,green,,1,0,1,0,0,1,1,3,,,,,,,,,right,0,2.4850268364,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
rojo,left,red,,1,0,1,0,0,2,2,5,,,,,,,,,right,0,2.05050992966,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
verde,down,green,,1,0,1,0,0,3,3,2,,,,,,,,,right,0,1.06683182716,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
azul,right,blue,,1,0,1,0,0,4,4,1,,,,,,,,,right,1,1.16850113869,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
rojo,left,red,,1,0,1,0,0,5,5,4,,,,,,,,,left,1,3.4509100914,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
,,,,1,0,1,0,,,,,,,,,,,,,,,,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
positiva1,right,blue,positive,,,,,,,,,0,0,0,0,0,0,0,0,right,1,3.78528881073,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
neutral2,down,green,neutral,,,,,,,,,0,0,0,0,0,1,1,5,down,1,1.01797795296,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
neutral1,right,blue,neutral,,,,,,,,,0,0,0,0,0,2,2,2,right,1,1.25177192688,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
neutral3,left,red,neutral,,,,,,,,,0,0,0,0,0,3,3,8,right,0,1.65132904053,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
negativa3,left,red,negative,,,,,,,,,0,0,0,0,0,4,4,7,down,0,1.23491096497,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
negativa2,down,green,negative,,,,,,,,,0,0,0,0,0,5,5,4,down,1,1.91875386238,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
positiva3,left,red,positive,,,,,,,,,0,0,0,0,0,6,6,6,left,1,0.418343067169,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
negativa1,right,blue,negative,,,,,,,,,0,0,0,0,0,7,7,1,right,1,0.452128887177,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
positiva2,down,green,positive,,,,,,,,,0,0,0,0,0,8,8,3,right,0,0.40277504921,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
,,,,,,,,,,,,0,0,0,0,,,,,,,,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
neutral4,right,blue,neutral,,,,,,,,,1,0,1,0,0,0,0,2,right,1,0.46840596199,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
negativa4,right,blue,negative,,,,,,,,,1,0,1,0,0,1,1,1,right,1,0.467226982117,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
neutral5,down,green,neutral,,,,,,,,,1,0,1,0,0,2,2,5,right,0,0.800469875336,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
negativa5,down,green,negative,,,,,,,,,1,0,1,0,0,3,3,4,right,0,0.167272806168,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
positiva6,left,red,positive,,,,,,,,,1,0,1,0,0,4,4,6,right,0,0.85064291954,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
neutral6,left,red,neutral,,,,,,,,,1,0,1,0,0,5,5,8,right,0,0.684928894043,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
positiva4,right,blue,positive,,,,,,,,,1,0,1,0,0,6,6,0,right,1,1.18475484848,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
negativa6,left,red,negative,,,,,,,,,1,0,1,0,0,7,7,7,right,0,0.418455839157,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
positiva5,down,green,positive,,,,,,,,,1,0,1,0,0,8,8,3,right,0,0.101235151291,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
,,,,,,,,,,,,1,0,1,0,,,,,,,,2018_Oct_16_1459,60.1662556895,emo_stroop,01,,
