text,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,blocks,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,left,red,0,0,0,8,,,,,,left,1,0.0346250534058,2018_Sep_05_1127,60.1312354396,emo_stroop,01,,
rojo,left,red,0,1,1,11,,,,,,left,1,0.150859117508,2018_Sep_05_1127,60.1312354396,emo_stroop,01,,
verde,down,green,0,2,2,4,,,,,,left,0,0.101984977722,2018_Sep_05_1127,60.1312354396,emo_stroop,01,,
rojo,left,red,0,3,3,9,,,,,,right,0,0.0349471569061,2018_Sep_05_1127,60.1312354396,emo_stroop,01,,
rojo,right,blue,0,4,4,0,,,,,,down,0,0.0681838989258,2018_Sep_05_1127,60.1312354396,emo_stroop,01,,
azul,right,blue,0,5,5,2,,,,,,left,0,0.0514941215515,2018_Sep_05_1127,60.1312354396,emo_stroop,01,,
verde,down,green,0,6,6,7,,,,,,right,0,0.117767095566,2018_Sep_05_1127,60.1312354396,emo_stroop,01,,
azul,right,blue,0,7,7,3,,,,,,left,0,0.0514640808105,2018_Sep_05_1127,60.1312354396,emo_stroop,01,,
verde,down,green,0,8,8,6,,,,,,right,0,0.00168204307556,2018_Sep_05_1127,60.1312354396,emo_stroop,01,,
azul,right,blue,0,9,9,1,,,,,,down,0,0.28401184082,2018_Sep_05_1127,60.1312354396,emo_stroop,01,,
verde,down,green,0,10,10,5,,,,,,left,0,0.267450094223,2018_Sep_05_1127,60.1312354396,emo_stroop,01,,
rojo,left,red,0,11,11,10,,,,,,left,1,0.400709152222,2018_Sep_05_1127,60.1312354396,emo_stroop,01,,
