text,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,left,red,0,0,0,11,left,1,0.483610868454,2018_Sep_05_1228,60.1167562237,emo_stroop,01,,
rojo,right,blue,0,1,1,0,left,0,0.067421913147,2018_Sep_05_1228,60.1167562237,emo_stroop,01,,
verde,down,green,0,2,2,6,left,0,0.118219852448,2018_Sep_05_1228,60.1167562237,emo_stroop,01,,
azul,right,blue,0,3,3,2,left,0,0.200867891312,2018_Sep_05_1228,60.1167562237,emo_stroop,01,,
rojo,left,red,0,4,4,10,left,1,0.117941141129,2018_Sep_05_1228,60.1167562237,emo_stroop,01,,
verde,down,green,0,5,5,7,left,0,0.135097980499,2018_Sep_05_1228,60.1167562237,emo_stroop,01,,
verde,down,green,0,6,6,5,left,0,0.135104894638,2018_Sep_05_1228,60.1167562237,emo_stroop,01,,
verde,down,green,0,7,7,4,left,0,0.01784491539,2018_Sep_05_1228,60.1167562237,emo_stroop,01,,
azul,right,blue,0,8,8,1,left,0,0.151270151138,2018_Sep_05_1228,60.1167562237,emo_stroop,01,,
rojo,left,red,0,9,9,8,left,1,0.00185394287109,2018_Sep_05_1228,60.1167562237,emo_stroop,01,,
rojo,left,red,0,10,10,9,left,1,0.18422794342,2018_Sep_05_1228,60.1167562237,emo_stroop,01,,
azul,right,blue,0,11,11,3,left,0,0.59995007515,2018_Sep_05_1228,60.1167562237,emo_stroop,01,,
