text,corrAns,letterColor,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,left,red,,0,0,0,9,,,,,,,,,right,0,0.617439031601,2018_Sep_15_1217,59.5868997879,emo_stroop,01,,
azul,right,blue,,0,1,1,2,,,,,,,,,right,1,0.450762987137,2018_Sep_15_1217,59.5868997879,emo_stroop,01,,
rojo,left,red,,0,2,2,8,,,,,,,,,left,1,0.585201025009,2018_Sep_15_1217,59.5868997879,emo_stroop,01,,
azul,right,blue,,0,3,3,1,,,,,,,,,right,1,0.434052944183,2018_Sep_15_1217,59.5868997879,emo_stroop,01,,
verde,down,green,,0,4,4,4,,,,,,,,,down,1,0.31805896759,2018_Sep_15_1217,59.5868997879,emo_stroop,01,,
verde,down,green,,0,5,5,7,,,,,,,,,down,1,0.452360153198,2018_Sep_15_1217,59.5868997879,emo_stroop,01,,
verde,down,green,,0,6,6,6,,,,,,,,,down,1,0.451570987701,2018_Sep_15_1217,59.5868997879,emo_stroop,01,,
azul,right,blue,,0,7,7,0,,,,,,,,,right,1,0.835059165955,2018_Sep_15_1217,59.5868997879,emo_stroop,01,,
verde,down,green,,0,8,8,5,,,,,,,,,right,0,1.00165009499,2018_Sep_15_1217,59.5868997879,emo_stroop,01,,
rojo,left,red,,0,9,9,10,,,,,,,,,left,1,1.25148105621,2018_Sep_15_1217,59.5868997879,emo_stroop,01,,
azul,right,blue,,0,10,10,3,,,,,,,,,right,1,0.667857170105,2018_Sep_15_1217,59.5868997879,emo_stroop,01,,
rojo,left,red,,0,11,11,11,,,,,,,,,left,1,0.584941148758,2018_Sep_15_1217,59.5868997879,emo_stroop,01,,
negativa2,down,green,negative,,,,,0,0,0,0,0,0,0,3,down,1,0.468230962753,2018_Sep_15_1217,59.5868997879,emo_stroop,01,,
neutral3,left,red,neutral,,,,,0,0,0,0,0,1,1,7,down,0,0.683089971542,2018_Sep_15_1217,59.5868997879,emo_stroop,01,,
positiva2,down,green,positive,,,,,0,0,0,0,0,2,2,2,down,1,0.483754873276,2018_Sep_15_1217,59.5868997879,emo_stroop,01,,
positiva3,left,red,positive,,,,,0,0,0,0,0,3,3,5,down,0,0.484757184982,2018_Sep_15_1217,59.5868997879,emo_stroop,01,,
negativa1,right,blue,negative,,,,,0,0,0,0,0,4,4,0,down,0,0.767783880234,2018_Sep_15_1217,59.5868997879,emo_stroop,01,,
negativa3,left,red,negative,,,,,0,0,0,0,0,5,5,6,down,0,0.635838031769,2018_Sep_15_1217,59.5868997879,emo_stroop,01,,
neutral2,down,green,neutral,,,,,0,0,0,0,0,6,6,4,down,1,0.551618814468,2018_Sep_15_1217,59.5868997879,emo_stroop,01,,
neutral1,right,blue,neutral,,,,,0,0,0,0,0,7,7,1,down,0,0.618427038193,2018_Sep_15_1217,59.5868997879,emo_stroop,01,,
,,,,,,,,0,0,0,0,,,,,,,,2018_Sep_15_1217,59.5868997879,emo_stroop,01,,
positiva5,down,green,positive,,,,,1,0,1,0,0,0,0,2,down,1,2.75075411797,2018_Sep_15_1217,59.5868997879,emo_stroop,01,,
negativa4,right,blue,negative,,,,,1,0,1,0,0,1,1,0,down,0,0.585037946701,2018_Sep_15_1217,59.5868997879,emo_stroop,01,,
neutral6,left,red,neutral,,,,,1,0,1,0,0,2,2,7,down,0,0.48508310318,2018_Sep_15_1217,59.5868997879,emo_stroop,01,,
negativa5,down,green,negative,,,,,1,0,1,0,0,3,3,3,down,1,0.567909955978,2018_Sep_15_1217,59.5868997879,emo_stroop,01,,
positiva6,left,red,positive,,,,,1,0,1,0,0,4,4,5,down,0,1.38480591774,2018_Sep_15_1217,59.5868997879,emo_stroop,01,,
neutral4,right,blue,neutral,,,,,1,0,1,0,0,5,5,1,down,0,4.60177302361,2018_Sep_15_1217,59.5868997879,emo_stroop,01,,
negativa6,left,red,negative,,,,,1,0,1,0,0,6,6,6,down,0,0.602166891098,2018_Sep_15_1217,59.5868997879,emo_stroop,01,,
neutral5,down,green,neutral,,,,,1,0,1,0,0,7,7,4,down,1,0.38495016098,2018_Sep_15_1217,59.5868997879,emo_stroop,01,,
,,,,,,,,1,0,1,0,,,,,,,,2018_Sep_15_1217,59.5868997879,emo_stroop,01,,
