text,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,condition,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,left,red,0,0,0,9,,,,,,,,,,left,1,0.935492992401,2018_Sep_26_1120,60.1952688283,emo_stroop,01,,
rojo,left,red,0,1,1,8,,,,,,,,,,down,0,0.384304046631,2018_Sep_26_1120,60.1952688283,emo_stroop,01,,
verde,down,green,0,2,2,4,,,,,,,,,,down,1,0.484595060349,2018_Sep_26_1120,60.1952688283,emo_stroop,01,,
rojo,left,red,0,3,3,10,,,,,,,,,,left,1,0.517518997192,2018_Sep_26_1120,60.1952688283,emo_stroop,01,,
verde,down,green,0,4,4,7,,,,,,,,,,down,1,0.684083938599,2018_Sep_26_1120,60.1952688283,emo_stroop,01,,
verde,down,green,0,5,5,6,,,,,,,,,,down,1,0.384282112122,2018_Sep_26_1120,60.1952688283,emo_stroop,01,,
azul,right,blue,0,6,6,0,,,,,,,,,,right,1,0.700643062592,2018_Sep_26_1120,60.1952688283,emo_stroop,01,,
verde,down,green,0,7,7,5,,,,,,,,,,left,0,0.60280585289,2018_Sep_26_1120,60.1952688283,emo_stroop,01,,
azul,right,blue,0,8,8,1,,,,,,,,,,left,0,0.60203909874,2018_Sep_26_1120,60.1952688283,emo_stroop,01,,
azul,right,blue,0,9,9,2,,,,,,,,,,right,1,0.451059103012,2018_Sep_26_1120,60.1952688283,emo_stroop,01,,
azul,right,blue,0,10,10,3,,,,,,,,,,right,1,0.417141914368,2018_Sep_26_1120,60.1952688283,emo_stroop,01,,
rojo,left,red,0,11,11,11,,,,,,,,,,left,1,0.650590181351,2018_Sep_26_1120,60.1952688283,emo_stroop,01,,
