text,corrAns,letterColor,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
verde,down,green,,0,0,0,3,,,,,,,,,right,0,0.735171079636,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
verde,down,green,,0,1,1,8,,,,,,,,,right,0,0.318605899811,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
rojo,left,red,,0,2,2,10,,,,,,,,,right,0,0.252424955368,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
rojo,left,red,,0,3,3,4,,,,,,,,,right,0,0.00127100944519,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
azul,right,blue,,0,4,4,7,,,,,,,,,right,1,0.234513044357,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
azul,right,blue,,0,5,5,0,,,,,,,,,right,1,0.0682411193848,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
azul,right,blue,,0,6,6,1,,,,,,,,,right,1,0.102275848389,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
verde,down,green,,0,7,7,2,,,,,,,,,right,0,0.167980909348,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
verde,down,green,,0,8,8,9,,,,,,,,,right,0,0.234716176987,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
azul,right,blue,,0,9,9,6,,,,,,,,,right,1,0.0514509677887,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
rojo,left,red,,0,10,10,11,,,,,,,,,right,0,0.0683870315552,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
rojo,left,red,,0,11,11,5,,,,,,,,,right,0,0.0516171455383,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
positiva5,down,green,positive,,,,,0,0,0,0,0,0,0,6,right,0,0.485018014908,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
neutral3,left,red,neutral,,,,,0,0,0,0,0,1,1,2,right,0,0.0684490203857,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
negativa3,left,red,negative,,,,,0,0,0,0,0,2,2,1,right,0,0.0847949981689,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
neutral4,right,blue,neutral,,,,,0,0,0,0,0,3,3,5,right,1,0.0843920707703,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
negativa5,down,green,negative,,,,,0,0,0,0,0,4,4,7,right,0,0.0675129890442,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
positiva3,left,red,positive,,,,,0,0,0,0,0,5,5,0,right,0,0.235190153122,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
negativa4,right,blue,negative,,,,,0,0,0,0,0,6,6,4,right,1,0.201297998428,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
positiva4,right,blue,positive,,,,,0,0,0,0,0,7,7,3,right,1,0.00137615203857,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
neutral5,down,green,neutral,,,,,0,0,0,0,0,8,8,8,right,0,0.0019588470459,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
,,,,,,,,0,0,0,0,,,,,,,,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
negativa3,left,red,negative,,,,,1,0,1,0,0,0,0,1,right,0,0.0514478683472,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
positiva5,down,green,positive,,,,,1,0,1,0,0,1,1,6,right,0,0.233850955963,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
positiva3,left,red,positive,,,,,1,0,1,0,0,2,2,0,right,0,0.201016902924,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
negativa5,down,green,negative,,,,,1,0,1,0,0,3,3,7,right,0,0.0513608455658,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
neutral5,down,green,neutral,,,,,1,0,1,0,0,4,4,8,right,0,0.0509209632874,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
positiva4,right,blue,positive,,,,,1,0,1,0,0,5,5,3,right,1,0.134297132492,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
negativa4,right,blue,negative,,,,,1,0,1,0,0,6,6,4,right,1,0.0859739780426,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
neutral4,right,blue,neutral,,,,,1,0,1,0,0,7,7,5,right,1,0.0675129890442,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
neutral3,left,red,neutral,,,,,1,0,1,0,0,8,8,2,right,0,0.0665550231934,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
,,,,,,,,1,0,1,0,,,,,,,,2018_Sep_26_1538,60.2987692409,emo_stroop,01,,
