text,corrAns,letterColor,condition,trial_blocks_practice.thisRepN,trial_blocks_practice.thisTrialN,trial_blocks_practice.thisN,trial_blocks_practice.thisIndex,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks_exp.thisRepN,trial_blocks_exp.thisTrialN,trial_blocks_exp.thisN,trial_blocks_exp.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
verde,down,green,,0,0,0,0,0,0,0,3,,,,,,,,,right,0,7.31799793243,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
rojo,left,red,,0,0,0,0,0,1,1,5,,,,,,,,,right,0,0.418766975403,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
azul,right,blue,,0,0,0,0,0,2,2,0,,,,,,,,,right,1,0.41818523407,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
verde,down,green,,0,0,0,0,0,3,3,2,,,,,,,,,right,0,0.185600996017,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
azul,right,blue,,0,0,0,0,0,4,4,1,,,,,,,,,right,1,0.151221990585,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
rojo,left,red,,0,0,0,0,0,5,5,4,,,,,,,,,right,0,0.0517659187317,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
,,,,0,0,0,0,,,,,,,,,,,,,,,,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
rojo,left,red,,1,0,1,0,0,0,0,4,,,,,,,,,right,0,0.0675249099731,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
verde,down,green,,1,0,1,0,0,1,1,3,,,,,,,,,right,0,0.184535980225,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
azul,right,blue,,1,0,1,0,0,2,2,1,,,,,,,,,right,1,0.234920978546,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
rojo,left,red,,1,0,1,0,0,3,3,5,,,,,,,,,right,0,0.251153945923,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
verde,down,green,,1,0,1,0,0,4,4,2,,,,,,,,,right,0,0.167565822601,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
azul,right,blue,,1,0,1,0,0,5,5,0,,,,,,,,,right,1,0.201434850693,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
,,,,1,0,1,0,,,,,,,,,,,,,,,,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
positiva6,left,red,positive,,,,,,,,,0,0,0,0,0,0,0,6,right,0,0.069041967392,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
negativa6,left,red,negative,,,,,,,,,0,0,0,0,0,1,1,7,right,0,0.101199150085,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
neutral5,down,green,neutral,,,,,,,,,0,0,0,0,0,2,2,5,right,0,0.0691499710083,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
negativa4,right,blue,negative,,,,,,,,,0,0,0,0,0,3,3,1,right,1,0.0682489871979,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
neutral4,right,blue,neutral,,,,,,,,,0,0,0,0,0,4,4,2,right,1,0.0673570632935,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
negativa5,down,green,negative,,,,,,,,,0,0,0,0,0,5,5,4,right,0,0.00133419036865,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
positiva4,right,blue,positive,,,,,,,,,0,0,0,0,0,6,6,0,right,1,0.0346732139587,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
neutral6,left,red,neutral,,,,,,,,,0,0,0,0,0,7,7,8,right,0,0.0848460197449,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
positiva5,down,green,positive,,,,,,,,,0,0,0,0,0,8,8,3,right,0,0.302336931229,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
,,,,,,,,,,,,0,0,0,0,,,,,,,,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
negativa2,down,green,negative,,,,,,,,,1,0,1,0,0,0,0,4,right,0,0.0517590045929,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
neutral3,left,red,neutral,,,,,,,,,1,0,1,0,0,1,1,8,right,0,0.0186359882355,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
positiva3,left,red,positive,,,,,,,,,1,0,1,0,0,2,2,6,right,0,0.486064195633,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
neutral1,right,blue,neutral,,,,,,,,,1,0,1,0,0,3,3,2,right,1,0.100461006165,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
neutral2,down,green,neutral,,,,,,,,,1,0,1,0,0,4,4,5,right,0,0.10200214386,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
negativa1,right,blue,negative,,,,,,,,,1,0,1,0,0,5,5,1,right,1,0.0353529453278,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
positiva2,down,green,positive,,,,,,,,,1,0,1,0,0,6,6,3,right,0,0.252328872681,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
positiva1,right,blue,positive,,,,,,,,,1,0,1,0,0,7,7,0,right,1,0.251872062683,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
negativa3,left,red,negative,,,,,,,,,1,0,1,0,0,8,8,7,right,0,0.0512511730194,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
,,,,,,,,,,,,1,0,1,0,,,,,,,,2018_Sep_26_1551,59.2728927428,emo_stroop,01,,
