text,corrAns,letterColor,trial_blocks_practice.thisRepN,trial_blocks_practice.thisTrialN,trial_blocks_practice.thisN,trial_blocks_practice.thisIndex,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks_exp.thisRepN,trial_blocks_exp.thisTrialN,trial_blocks_exp.thisN,trial_blocks_exp.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
verde,down,green,0,0,0,0,0,0,0,2,,,,,down,1,1.60114789009,2018_Sep_26_1552,60.1503793903,emo_stroop,01,,
azul,right,blue,0,0,0,0,0,1,1,0,,,,,right,1,0.58460688591,2018_Sep_26_1552,60.1503793903,emo_stroop,01,,
verde,down,green,0,0,0,0,0,2,2,3,,,,,down,1,0.651438951492,2018_Sep_26_1552,60.1503793903,emo_stroop,01,,
azul,right,blue,0,0,0,0,0,3,3,1,,,,,right,1,0.617443084717,2018_Sep_26_1552,60.1503793903,emo_stroop,01,,
rojo,left,red,0,0,0,0,0,4,4,4,,,,,left,1,0.268804788589,2018_Sep_26_1552,60.1503793903,emo_stroop,01,,
rojo,left,red,0,0,0,0,0,5,5,5,,,,,left,1,0.317163944244,2018_Sep_26_1552,60.1503793903,emo_stroop,01,,
,,,0,0,0,0,,,,,,,,,,,,2018_Sep_26_1552,60.1503793903,emo_stroop,01,,
verde,down,green,1,0,1,0,0,0,0,3,,,,,down,1,0.717343091965,2018_Sep_26_1552,60.1503793903,emo_stroop,01,,
verde,down,green,1,0,1,0,0,1,1,2,,,,,down,1,0.502300024033,2018_Sep_26_1552,60.1503793903,emo_stroop,01,,
azul,right,blue,1,0,1,0,0,2,2,1,,,,,right,1,0.517578840256,2018_Sep_26_1552,60.1503793903,emo_stroop,01,,
rojo,left,red,1,0,1,0,0,3,3,5,,,,,left,1,0.384325027466,2018_Sep_26_1552,60.1503793903,emo_stroop,01,,
azul,right,blue,1,0,1,0,0,4,4,0,,,,,right,1,0.602144956589,2018_Sep_26_1552,60.1503793903,emo_stroop,01,,
rojo,left,red,1,0,1,0,0,5,5,4,,,,,left,1,0.334753036499,2018_Sep_26_1552,60.1503793903,emo_stroop,01,,
,,,1,0,1,0,,,,,,,,,,,,2018_Sep_26_1552,60.1503793903,emo_stroop,01,,
