text,corrAns,letterColor,trial_blocks_practice.thisRepN,trial_blocks_practice.thisTrialN,trial_blocks_practice.thisN,trial_blocks_practice.thisIndex,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks_exp.thisRepN,trial_blocks_exp.thisTrialN,trial_blocks_exp.thisN,trial_blocks_exp.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
azul,right,blue,0,0,0,0,0,0,0,1,,,,,right,1,3.08968186378,2018_Sep_26_1553,60.2007119072,emo_stroop,01,,
rojo,left,red,0,0,0,0,0,1,1,5,,,,,left,1,0.618192195892,2018_Sep_26_1553,60.2007119072,emo_stroop,01,,
rojo,left,red,0,0,0,0,0,2,2,4,,,,,left,1,0.551066875458,2018_Sep_26_1553,60.2007119072,emo_stroop,01,,
azul,right,blue,0,0,0,0,0,3,3,0,,,,,right,1,1.01815414429,2018_Sep_26_1553,60.2007119072,emo_stroop,01,,
verde,down,green,0,0,0,0,0,4,4,3,,,,,down,1,0.184428930283,2018_Sep_26_1553,60.2007119072,emo_stroop,01,,
verde,down,green,0,0,0,0,0,5,5,2,,,,,down,1,0.100912094116,2018_Sep_26_1553,60.2007119072,emo_stroop,01,,
,,,0,0,0,0,,,,,,,,,,,,2018_Sep_26_1553,60.2007119072,emo_stroop,01,,
azul,right,blue,1,0,1,0,0,0,0,1,,,,,right,1,0.801125049591,2018_Sep_26_1553,60.2007119072,emo_stroop,01,,
verde,down,green,1,0,1,0,0,1,1,3,,,,,down,1,0.385278940201,2018_Sep_26_1553,60.2007119072,emo_stroop,01,,
azul,right,blue,1,0,1,0,0,2,2,0,,,,,right,1,0.584986925125,2018_Sep_26_1553,60.2007119072,emo_stroop,01,,
rojo,left,red,1,0,1,0,0,3,3,4,,,,,left,1,0.551055908203,2018_Sep_26_1553,60.2007119072,emo_stroop,01,,
rojo,left,red,1,0,1,0,0,4,4,5,,,,,left,1,0.701812028885,2018_Sep_26_1553,60.2007119072,emo_stroop,01,,
verde,down,green,1,0,1,0,0,5,5,2,,,,,down,1,0.368334054947,2018_Sep_26_1553,60.2007119072,emo_stroop,01,,
,,,1,0,1,0,,,,,,,,,,,,2018_Sep_26_1553,60.2007119072,emo_stroop,01,,
