text,congruent,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
green,incong,left,red,0,0,0,4,,,,,left,1,0.716556072235,2018_Aug_01_1441,60.1123621271,emo_stroop,01,eeee,
blue,incong,left,red,0,1,1,8,,,,,left,1,0.184382915497,2018_Aug_01_1441,60.1123621271,emo_stroop,01,eeee,
blue,cong,right,blue,0,2,2,10,,,,,down,0,0.00163221359253,2018_Aug_01_1441,60.1123621271,emo_stroop,01,eeee,
red,cong,left,red,0,3,3,0,,,,,down,0,0.400806903839,2018_Aug_01_1441,60.1123621271,emo_stroop,01,eeee,
blue,incong,down,green,0,4,4,9,,,,,right,0,0.117572069168,2018_Aug_01_1441,60.1123621271,emo_stroop,01,eeee,
red,cong,left,red,0,5,5,1,,,,,left,1,0.000450134277344,2018_Aug_01_1441,60.1123621271,emo_stroop,01,eeee,
blue,cong,right,blue,0,6,6,11,,,,,right,1,0.084725856781,2018_Aug_01_1441,60.1123621271,emo_stroop,01,eeee,
green,cong,down,green,0,7,7,5,,,,,left,0,0.0354061126709,2018_Aug_01_1441,60.1123621271,emo_stroop,01,eeee,
green,incong,right,blue,0,8,8,7,,,,,right,1,0.0681822299957,2018_Aug_01_1441,60.1123621271,emo_stroop,01,eeee,
red,incong,right,blue,0,9,9,3,,,,,down,0,0.00236177444458,2018_Aug_01_1441,60.1123621271,emo_stroop,01,eeee,
green,cong,down,green,0,10,10,6,,,,,right,0,0.0179109573364,2018_Aug_01_1441,60.1123621271,emo_stroop,01,eeee,
red,incong,down,green,0,11,11,2,,,,,left,0,0.00153017044067,2018_Aug_01_1441,60.1123621271,emo_stroop,01,eeee,
green,incong,right,blue,,,,,0,0,0,7,down,0,0.101866006851,2018_Aug_01_1441,60.1123621271,emo_stroop,01,eeee,
blue,incong,left,red,,,,,0,1,1,8,left,1,0.0688529014587,2018_Aug_01_1441,60.1123621271,emo_stroop,01,eeee,
blue,incong,down,green,,,,,0,2,2,9,down,1,0.00151515007019,2018_Aug_01_1441,60.1123621271,emo_stroop,01,eeee,
green,cong,down,green,,,,,0,3,3,6,right,0,0.00147700309753,2018_Aug_01_1441,60.1123621271,emo_stroop,01,eeee,
red,cong,left,red,,,,,0,4,4,1,right,0,0.0183429718018,2018_Aug_01_1441,60.1123621271,emo_stroop,01,eeee,
red,incong,down,green,,,,,0,5,5,2,right,0,0.0182480812073,2018_Aug_01_1441,60.1123621271,emo_stroop,01,eeee,
blue,cong,right,blue,,,,,0,6,6,11,left,0,0.0678858757019,2018_Aug_01_1441,60.1123621271,emo_stroop,01,eeee,
blue,cong,right,blue,,,,,0,7,7,10,left,0,0.00152206420898,2018_Aug_01_1441,60.1123621271,emo_stroop,01,eeee,
red,incong,right,blue,,,,,0,8,8,3,right,1,0.134339809418,2018_Aug_01_1441,60.1123621271,emo_stroop,01,eeee,
red,cong,left,red,,,,,0,9,9,0,down,0,0.0179679393768,2018_Aug_01_1441,60.1123621271,emo_stroop,01,eeee,
green,cong,down,green,,,,,0,10,10,5,left,0,0.0676581859589,2018_Aug_01_1441,60.1123621271,emo_stroop,01,eeee,
green,incong,left,red,,,,,0,11,11,4,right,0,0.118218898773,2018_Aug_01_1441,60.1123621271,emo_stroop,01,eeee,
blue,cong,right,blue,,,,,1,0,12,10,left,0,0.10110616684,2018_Aug_01_1441,60.1123621271,emo_stroop,01,eeee,
green,cong,down,green,,,,,1,1,13,5,right,0,0.101251840591,2018_Aug_01_1441,60.1123621271,emo_stroop,01,eeee,
red,cong,left,red,,,,,1,2,14,0,left,1,0.0846681594849,2018_Aug_01_1441,60.1123621271,emo_stroop,01,eeee,
