text,corrAns,letterColor,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,left,red,,0,0,0,8,,,,,,,,,down,0,0.517474889755,2018_Sep_05_1052,60.1663419966,emo_stroop,01,git ,
rojo,left,red,,0,1,1,11,,,,,,,,,down,0,0.0348799228668,2018_Sep_05_1052,60.1663419966,emo_stroop,01,git ,
azul,right,blue,,0,2,2,3,,,,,,,,,left,0,0.0181758403778,2018_Sep_05_1052,60.1663419966,emo_stroop,01,git ,
verde,down,green,,0,3,3,4,,,,,,,,,left,0,0.317365884781,2018_Sep_05_1052,60.1663419966,emo_stroop,01,git ,
rojo,right,blue,,0,4,4,0,,,,,,,,,left,0,0.234654903412,2018_Sep_05_1052,60.1663419966,emo_stroop,01,git ,
azul,right,blue,,0,5,5,1,,,,,,,,,left,0,0.133810997009,2018_Sep_05_1052,60.1663419966,emo_stroop,01,git ,
rojo,left,red,,0,6,6,9,,,,,,,,,left,1,0.0833079814911,2018_Sep_05_1052,60.1663419966,emo_stroop,01,git ,
verde,down,green,,0,7,7,6,,,,,,,,,left,0,0.600704908371,2018_Sep_05_1052,60.1663419966,emo_stroop,01,git ,
rojo,left,red,,0,8,8,10,,,,,,,,,left,1,0.484687805176,2018_Sep_05_1052,60.1663419966,emo_stroop,01,git ,
azul,right,blue,,0,9,9,2,,,,,,,,,left,0,0.101051092148,2018_Sep_05_1052,60.1663419966,emo_stroop,01,git ,
verde,down,green,,0,10,10,5,,,,,,,,,left,0,0.184536218643,2018_Sep_05_1052,60.1663419966,emo_stroop,01,git ,
verde,down,green,,0,11,11,7,,,,,,,,,left,0,0.100322961807,2018_Sep_05_1052,60.1663419966,emo_stroop,01,git ,
neutral3,left,red,neutral,,,,,0,0,0,0,0,0,0,7,left,1,0.483802080154,2018_Sep_05_1052,60.1663419966,emo_stroop,01,git ,
positiva3,left,red,positive,,,,,0,0,0,0,0,1,1,5,left,1,0.582484006882,2018_Sep_05_1052,60.1663419966,emo_stroop,01,git ,
negativa2,down,green,negative,,,,,0,0,0,0,0,2,2,3,left,0,0.200928926468,2018_Sep_05_1052,60.1663419966,emo_stroop,01,git ,
negativa3,left,red,negative,,,,,0,0,0,0,0,3,3,6,left,1,0.218180894852,2018_Sep_05_1052,60.1663419966,emo_stroop,01,git ,
negativa1,right,blue,negative,,,,,0,0,0,0,0,4,4,0,left,0,0.201071023941,2018_Sep_05_1052,60.1663419966,emo_stroop,01,git ,
neutral1,right,blue,neutral,,,,,0,0,0,0,0,5,5,1,left,0,0.216548919678,2018_Sep_05_1052,60.1663419966,emo_stroop,01,git ,
neutral2,down,green,neutral,,,,,0,0,0,0,0,6,6,4,left,0,0.0182311534882,2018_Sep_05_1052,60.1663419966,emo_stroop,01,git ,
positiva2,down,green,positive,,,,,0,0,0,0,0,7,7,2,left,0,0.118036985397,2018_Sep_05_1052,60.1663419966,emo_stroop,01,git ,
,,,,,,,,0,0,0,0,,,,,,,,2018_Sep_05_1052,60.1663419966,emo_stroop,01,git ,
negativa5,down,green,negative,,,,,1,0,1,0,0,0,0,3,left,0,0.0846629142761,2018_Sep_05_1052,60.1663419966,emo_stroop,01,git ,
neutral4,right,blue,neutral,,,,,1,0,1,0,0,1,1,1,left,0,0.300781011581,2018_Sep_05_1052,60.1663419966,emo_stroop,01,git ,
positiva6,left,red,positive,,,,,1,0,1,0,0,2,2,5,left,1,0.0686860084534,2018_Sep_05_1052,60.1663419966,emo_stroop,01,git ,
negativa4,right,blue,negative,,,,,1,0,1,0,0,3,3,0,left,0,0.101326942444,2018_Sep_05_1052,60.1663419966,emo_stroop,01,git ,
neutral5,down,green,neutral,,,,,1,0,1,0,0,4,4,4,left,0,0.101012945175,2018_Sep_05_1052,60.1663419966,emo_stroop,01,git ,
positiva5,down,green,positive,,,,,1,0,1,0,0,5,5,2,left,0,0.0518519878387,2018_Sep_05_1052,60.1663419966,emo_stroop,01,git ,
neutral6,left,red,neutral,,,,,1,0,1,0,0,6,6,7,left,1,0.0189530849457,2018_Sep_05_1052,60.1663419966,emo_stroop,01,git ,
negativa6,left,red,negative,,,,,1,0,1,0,0,7,7,6,left,1,0.649934053421,2018_Sep_05_1052,60.1663419966,emo_stroop,01,git ,
,,,,,,,,1,0,1,0,,,,,,,,2018_Sep_05_1052,60.1663419966,emo_stroop,01,git ,
