text,congruent,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
verde,cong,down,green,0,0,0,6,,,,,down,1,3.24402284622,2018_Aug_15_1327,60.1680681913,emo_stroop,01,jj,
rojo,cong,left,red,0,1,1,1,,,,,left,1,1.13208699226,2018_Aug_15_1327,60.1680681913,emo_stroop,01,jj,
azul,cong,right,blue,0,2,2,11,,,,,down,0,0.715742111206,2018_Aug_15_1327,60.1680681913,emo_stroop,01,jj,
verde,incong,left,red,0,3,3,4,,,,,down,0,1.21513485909,2018_Aug_15_1327,60.1680681913,emo_stroop,01,jj,
azul,cong,right,blue,0,4,4,10,,,,,down,0,0.0512678623199,2018_Aug_15_1327,60.1680681913,emo_stroop,01,jj,
azul,incong,left,red,0,5,5,8,,,,,down,0,0.0348188877106,2018_Aug_15_1327,60.1680681913,emo_stroop,01,jj,
verde,incong,right,blue,0,6,6,7,,,,,left,0,0.733114957809,2018_Aug_15_1327,60.1680681913,emo_stroop,01,jj,
rojo,cong,left,red,0,7,7,0,,,,,left,1,0.417891979218,2018_Aug_15_1327,60.1680681913,emo_stroop,01,jj,
rojo,incong,down,green,0,8,8,2,,,,,down,1,0.25097489357,2018_Aug_15_1327,60.1680681913,emo_stroop,01,jj,
rojo,incong,right,blue,0,9,9,3,,,,,down,0,0.351134061813,2018_Aug_15_1327,60.1680681913,emo_stroop,01,jj,
azul,incong,down,green,0,10,10,9,,,,,left,0,0.0512499809265,2018_Aug_15_1327,60.1680681913,emo_stroop,01,jj,
verde,cong,down,green,0,11,11,5,,,,,down,1,0.666449069977,2018_Aug_15_1327,60.1680681913,emo_stroop,01,jj,
