text,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
verde,down,green,0,0,0,6,left,0,0.417855024338,2018_Aug_24_1956,60.1286493538,emo_stroop,01,k,
azul,right,blue,0,1,1,2,down,0,0.200802087784,2018_Aug_24_1956,60.1286493538,emo_stroop,01,k,
rojo,right,blue,0,2,2,0,down,0,0.101243972778,2018_Aug_24_1956,60.1286493538,emo_stroop,01,k,
rojo,left,red,0,3,3,8,down,0,0.0016131401062,2018_Aug_24_1956,60.1286493538,emo_stroop,01,k,
rojo,left,red,0,4,4,11,right,0,0.00137805938721,2018_Aug_24_1956,60.1286493538,emo_stroop,01,k,
rojo,left,red,0,5,5,9,right,0,0.00149893760681,2018_Aug_24_1956,60.1286493538,emo_stroop,01,k,
verde,down,green,0,6,6,4,down,1,0.233969211578,2018_Aug_24_1956,60.1286493538,emo_stroop,01,k,
azul,right,blue,0,7,7,3,down,0,0.0846719741821,2018_Aug_24_1956,60.1286493538,emo_stroop,01,k,
rojo,left,red,0,8,8,10,right,0,0.151088953018,2018_Aug_24_1956,60.1286493538,emo_stroop,01,k,
verde,down,green,0,9,9,7,right,0,0.0353400707245,2018_Aug_24_1956,60.1286493538,emo_stroop,01,k,
azul,right,blue,0,10,10,1,right,1,0.234503984451,2018_Aug_24_1956,60.1286493538,emo_stroop,01,k,
verde,down,green,0,11,11,5,right,0,0.151926040649,2018_Aug_24_1956,60.1286493538,emo_stroop,01,k,
