text,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
azul,right,blue,0,0,0,3,,,,,right,1,0.151380062103,2018_Sep_05_1244,60.1420994295,emo_stroop,01,k,
azul,right,blue,0,1,1,2,,,,,right,1,0.167834043503,2018_Sep_05_1244,60.1420994295,emo_stroop,01,k,
rojo,right,blue,0,2,2,0,,,,,right,1,0.167865037918,2018_Sep_05_1244,60.1420994295,emo_stroop,01,k,
rojo,left,red,0,3,3,8,,,,,right,0,0.200124025345,2018_Sep_05_1244,60.1420994295,emo_stroop,01,k,
verde,down,green,0,4,4,4,,,,,right,0,0.117648124695,2018_Sep_05_1244,60.1420994295,emo_stroop,01,k,
rojo,left,red,0,5,5,10,,,,,right,0,0.0335509777069,2018_Sep_05_1244,60.1420994295,emo_stroop,01,k,
verde,down,green,0,6,6,6,,,,,right,0,0.184031009674,2018_Sep_05_1244,60.1420994295,emo_stroop,01,k,
rojo,left,red,0,7,7,11,,,,,right,0,0.0343089103699,2018_Sep_05_1244,60.1420994295,emo_stroop,01,k,
rojo,left,red,0,8,8,9,,,,,right,0,0.21760392189,2018_Sep_05_1244,60.1420994295,emo_stroop,01,k,
verde,down,green,0,9,9,7,,,,,right,0,0.0679759979248,2018_Sep_05_1244,60.1420994295,emo_stroop,01,k,
azul,right,blue,0,10,10,1,,,,,right,1,0.150904893875,2018_Sep_05_1244,60.1420994295,emo_stroop,01,k,
verde,down,green,0,11,11,5,,,,,right,0,0.201051950455,2018_Sep_05_1244,60.1420994295,emo_stroop,01,k,
