text,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,blocks,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
verde,down,green,0,0,0,5,,,,,,down,1,1.4968419075,2018_Sep_05_1124,60.140633424,emo_stroop,01,kk,
verde,down,green,0,1,1,7,,,,,,down,1,0.267653942108,2018_Sep_05_1124,60.140633424,emo_stroop,01,kk,
azul,right,blue,0,2,2,1,,,,,,right,1,3.62633299828,2018_Sep_05_1124,60.140633424,emo_stroop,01,kk,
azul,right,blue,0,3,3,3,,,,,,right,1,0.017872095108,2018_Sep_05_1124,60.140633424,emo_stroop,01,kk,
rojo,left,red,0,4,4,9,,,,,,right,0,0.0346350669861,2018_Sep_05_1124,60.140633424,emo_stroop,01,kk,
rojo,right,blue,0,5,5,0,,,,,,right,1,0.0349061489105,2018_Sep_05_1124,60.140633424,emo_stroop,01,kk,
rojo,left,red,0,6,6,10,,,,,,left,1,0.167740106583,2018_Sep_05_1124,60.140633424,emo_stroop,01,kk,
rojo,left,red,0,7,7,8,,,,,,left,1,0.88276720047,2018_Sep_05_1124,60.140633424,emo_stroop,01,kk,
verde,down,green,0,8,8,6,,,,,,left,0,0.783054828644,2018_Sep_05_1124,60.140633424,emo_stroop,01,kk,
verde,down,green,0,9,9,4,,,,,,left,0,0.300802946091,2018_Sep_05_1124,60.140633424,emo_stroop,01,kk,
azul,right,blue,0,10,10,2,,,,,,left,0,0.516853809357,2018_Sep_05_1124,60.140633424,emo_stroop,01,kk,
rojo,left,red,0,11,11,11,,,,,,left,1,0.317597866058,2018_Sep_05_1124,60.140633424,emo_stroop,01,kk,
