text,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,blocks_,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,right,blue,0,0,0,0,,,,,,left,0,0.367187023163,2018_Sep_05_1217,60.0466996036,emo_stroop,01,kk,
verde,down,green,0,1,1,5,,,,,,left,0,0.434213876724,2018_Sep_05_1217,60.0466996036,emo_stroop,01,kk,
verde,down,green,0,2,2,6,,,,,,left,0,0.0678977966309,2018_Sep_05_1217,60.0466996036,emo_stroop,01,kk,
azul,right,blue,0,3,3,1,,,,,,left,0,0.333519935608,2018_Sep_05_1217,60.0466996036,emo_stroop,01,kk,
verde,down,green,0,4,4,4,,,,,,left,0,0.151329994202,2018_Sep_05_1217,60.0466996036,emo_stroop,01,kk,
azul,right,blue,0,5,5,3,,,,,,left,0,0.0847160816193,2018_Sep_05_1217,60.0466996036,emo_stroop,01,kk,
rojo,left,red,0,6,6,9,,,,,,left,1,0.21777009964,2018_Sep_05_1217,60.0466996036,emo_stroop,01,kk,
rojo,left,red,0,7,7,10,,,,,,left,1,0.217555046082,2018_Sep_05_1217,60.0466996036,emo_stroop,01,kk,
rojo,left,red,0,8,8,11,,,,,,left,1,0.00169396400452,2018_Sep_05_1217,60.0466996036,emo_stroop,01,kk,
azul,right,blue,0,9,9,2,,,,,,left,0,0.284648895264,2018_Sep_05_1217,60.0466996036,emo_stroop,01,kk,
rojo,left,red,0,10,10,8,,,,,,left,1,0.250998020172,2018_Sep_05_1217,60.0466996036,emo_stroop,01,kk,
verde,down,green,0,11,11,7,,,,,,right,0,0.00164103507996,2018_Sep_05_1217,60.0466996036,emo_stroop,01,kk,
