text,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
verde,down,green,0,0,0,5,right,0,0.11737203598,2018_Sep_05_1219,60.1095192304,emo_stroop,01,klj,
verde,down,green,0,1,1,4,left,0,0.0337040424347,2018_Sep_05_1219,60.1095192304,emo_stroop,01,klj,
rojo,left,red,0,2,2,11,down,0,0.0685229301453,2018_Sep_05_1219,60.1095192304,emo_stroop,01,klj,
rojo,right,blue,0,3,3,0,down,0,0.117769002914,2018_Sep_05_1219,60.1095192304,emo_stroop,01,klj,
azul,right,blue,0,4,4,3,left,0,0.0185959339142,2018_Sep_05_1219,60.1095192304,emo_stroop,01,klj,
azul,right,blue,0,5,5,2,down,0,0.101525068283,2018_Sep_05_1219,60.1095192304,emo_stroop,01,klj,
verde,down,green,0,6,6,7,down,1,0.018415927887,2018_Sep_05_1219,60.1095192304,emo_stroop,01,klj,
rojo,left,red,0,7,7,9,left,1,0.00175404548645,2018_Sep_05_1219,60.1095192304,emo_stroop,01,klj,
rojo,left,red,0,8,8,10,left,1,0.134564876556,2018_Sep_05_1219,60.1095192304,emo_stroop,01,klj,
verde,down,green,0,9,9,6,down,1,0.117732048035,2018_Sep_05_1219,60.1095192304,emo_stroop,01,klj,
rojo,left,red,0,10,10,8,left,1,0.201215028763,2018_Sep_05_1219,60.1095192304,emo_stroop,01,klj,
azul,right,blue,0,11,11,1,down,0,0.33368897438,2018_Sep_05_1219,60.1095192304,emo_stroop,01,klj,
