text,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,blocks_,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
azul,right,blue,0,0,0,2,,,,,,down,0,2.89457988739,2018_Sep_05_1225,60.1083993752,emo_stroop,01,klj,
rojo,left,red,0,1,1,9,,,,,,left,1,0.0351221561432,2018_Sep_05_1225,60.1083993752,emo_stroop,01,klj,
rojo,left,red,0,2,2,10,,,,,,left,1,0.00157189369202,2018_Sep_05_1225,60.1083993752,emo_stroop,01,klj,
verde,down,green,0,3,3,6,,,,,,down,1,0.883354187012,2018_Sep_05_1225,60.1083993752,emo_stroop,01,klj,
rojo,left,red,0,4,4,11,,,,,,right,0,0.483433961868,2018_Sep_05_1225,60.1083993752,emo_stroop,01,klj,
verde,down,green,0,5,5,4,,,,,,left,0,0.251005887985,2018_Sep_05_1225,60.1083993752,emo_stroop,01,klj,
azul,right,blue,0,6,6,3,,,,,,left,0,0.134423017502,2018_Sep_05_1225,60.1083993752,emo_stroop,01,klj,
verde,down,green,0,7,7,5,,,,,,down,1,0.65030002594,2018_Sep_05_1225,60.1083993752,emo_stroop,01,klj,
azul,right,blue,0,8,8,1,,,,,,down,0,1.51326918602,2018_Sep_05_1225,60.1083993752,emo_stroop,01,klj,
verde,down,green,0,9,9,7,,,,,,down,1,0.168071985245,2018_Sep_05_1225,60.1083993752,emo_stroop,01,klj,
rojo,left,red,0,10,10,8,,,,,,left,1,3.49274992943,2018_Sep_05_1225,60.1083993752,emo_stroop,01,klj,
rojo,right,blue,0,11,11,0,,,,,,left,0,0.0347211360931,2018_Sep_05_1225,60.1083993752,emo_stroop,01,klj,
