text,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,blocks_,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
azul,right,blue,0,0,0,2,,,,,,left,0,0.018935918808,2018_Sep_05_1214,60.1568496962,emo_stroop,01,l,
rojo,left,red,0,1,1,11,,,,,,left,1,0.101129055023,2018_Sep_05_1214,60.1568496962,emo_stroop,01,l,
verde,down,green,0,2,2,6,,,,,,left,0,0.0858020782471,2018_Sep_05_1214,60.1568496962,emo_stroop,01,l,
rojo,left,red,0,3,3,8,,,,,,left,1,0.201318979263,2018_Sep_05_1214,60.1568496962,emo_stroop,01,l,
rojo,left,red,0,4,4,9,,,,,,left,1,0.117864131927,2018_Sep_05_1214,60.1568496962,emo_stroop,01,l,
verde,down,green,0,5,5,5,,,,,,left,0,0.16789484024,2018_Sep_05_1214,60.1568496962,emo_stroop,01,l,
rojo,right,blue,0,6,6,0,,,,,,left,0,0.417328119278,2018_Sep_05_1214,60.1568496962,emo_stroop,01,l,
azul,right,blue,0,7,7,1,,,,,,left,0,0.0179390907288,2018_Sep_05_1214,60.1568496962,emo_stroop,01,l,
rojo,left,red,0,8,8,10,,,,,,left,1,0.982584953308,2018_Sep_05_1214,60.1568496962,emo_stroop,01,l,
azul,right,blue,0,9,9,3,,,,,,left,0,0.151247024536,2018_Sep_05_1214,60.1568496962,emo_stroop,01,l,
verde,down,green,0,10,10,4,,,,,,left,0,0.0346260070801,2018_Sep_05_1214,60.1568496962,emo_stroop,01,l,
verde,down,green,0,11,11,7,,,,,,left,0,0.350692987442,2018_Sep_05_1214,60.1568496962,emo_stroop,01,l,
