text,corrAns,letterColor,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,left,red,,0,0,0,9,,,,,,,,,left,1,0.250022888184,2018_Sep_05_1251,60.3089133967,emo_stroop,01,l,
verde,down,green,,0,1,1,4,,,,,,,,,left,0,0.217324972153,2018_Sep_05_1251,60.3089133967,emo_stroop,01,l,
rojo,left,red,,0,2,2,11,,,,,,,,,down,0,0.300833940506,2018_Sep_05_1251,60.3089133967,emo_stroop,01,l,
rojo,left,red,,0,3,3,10,,,,,,,,,down,0,3.0945289135,2018_Sep_05_1251,60.3089133967,emo_stroop,01,l,
rojo,left,red,,0,4,4,8,,,,,,,,,down,0,0.0182909965515,2018_Sep_05_1251,60.3089133967,emo_stroop,01,l,
verde,down,green,,0,5,5,7,,,,,,,,,down,1,0.184405088425,2018_Sep_05_1251,60.3089133967,emo_stroop,01,l,
azul,right,blue,,0,6,6,2,,,,,,,,,left,0,0.167987108231,2018_Sep_05_1251,60.3089133967,emo_stroop,01,l,
rojo,right,blue,,0,7,7,0,,,,,,,,,right,1,0.101224899292,2018_Sep_05_1251,60.3089133967,emo_stroop,01,l,
azul,right,blue,,0,8,8,1,,,,,,,,,down,0,0.434427022934,2018_Sep_05_1251,60.3089133967,emo_stroop,01,l,
verde,down,green,,0,9,9,5,,,,,,,,,right,0,0.184179067612,2018_Sep_05_1251,60.3089133967,emo_stroop,01,l,
azul,right,blue,,0,10,10,3,,,,,,,,,right,1,0.201086044312,2018_Sep_05_1251,60.3089133967,emo_stroop,01,l,
verde,down,green,,0,11,11,6,,,,,,,,,down,1,0.0681669712067,2018_Sep_05_1251,60.3089133967,emo_stroop,01,l,
negativa6,left,red,negative,,,,,0,0,0,0,0,0,0,6,left,1,0.267400979996,2018_Sep_05_1251,60.3089133967,emo_stroop,01,l,
negativa4,right,blue,negative,,,,,0,0,0,0,0,1,1,0,down,0,0.0675189495087,2018_Sep_05_1251,60.3089133967,emo_stroop,01,l,
positiva5,down,green,positive,,,,,0,0,0,0,0,2,2,2,down,1,0.0169591903687,2018_Sep_05_1251,60.3089133967,emo_stroop,01,l,
neutral5,down,green,neutral,,,,,0,0,0,0,0,3,3,4,down,1,0.0177829265594,2018_Sep_05_1251,60.3089133967,emo_stroop,01,l,
neutral6,left,red,neutral,,,,,0,0,0,0,0,4,4,7,down,0,0.0178489685059,2018_Sep_05_1251,60.3089133967,emo_stroop,01,l,
positiva6,left,red,positive,,,,,0,0,0,0,0,5,5,5,down,0,0.500694990158,2018_Sep_05_1251,60.3089133967,emo_stroop,01,l,
neutral4,right,blue,neutral,,,,,0,0,0,0,0,6,6,1,down,0,0.034364938736,2018_Sep_05_1251,60.3089133967,emo_stroop,01,l,
negativa5,down,green,negative,,,,,0,0,0,0,0,7,7,3,left,0,0.234627962112,2018_Sep_05_1251,60.3089133967,emo_stroop,01,l,
,,,,,,,,0,0,0,0,,,,,,,,2018_Sep_05_1251,60.3089133967,emo_stroop,01,l,
neutral3,left,red,neutral,,,,,1,0,1,0,0,0,0,7,down,0,0.25123000145,2018_Sep_05_1251,60.3089133967,emo_stroop,01,l,
neutral1,right,blue,neutral,,,,,1,0,1,0,0,1,1,1,right,1,0.28320980072,2018_Sep_05_1251,60.3089133967,emo_stroop,01,l,
positiva3,left,red,positive,,,,,1,0,1,0,0,2,2,5,left,1,0.0836279392242,2018_Sep_05_1251,60.3089133967,emo_stroop,01,l,
neutral2,down,green,neutral,,,,,1,0,1,0,0,3,3,4,down,1,0.267678022385,2018_Sep_05_1251,60.3089133967,emo_stroop,01,l,
negativa3,left,red,negative,,,,,1,0,1,0,0,4,4,6,down,0,0.550359010696,2018_Sep_05_1251,60.3089133967,emo_stroop,01,l,
negativa2,down,green,negative,,,,,1,0,1,0,0,5,5,3,down,1,0.0678210258484,2018_Sep_05_1251,60.3089133967,emo_stroop,01,l,
negativa1,right,blue,negative,,,,,1,0,1,0,0,6,6,0,down,0,0.00150108337402,2018_Sep_05_1251,60.3089133967,emo_stroop,01,l,
positiva2,down,green,positive,,,,,1,0,1,0,0,7,7,2,right,0,0.266501903534,2018_Sep_05_1251,60.3089133967,emo_stroop,01,l,
,,,,,,,,1,0,1,0,,,,,,,,2018_Sep_05_1251,60.3089133967,emo_stroop,01,l,
