text,letterColor,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.rt,date,frameRate,expName,session,participant,
verde,green,,0,0,0,6,,,,,left,0.0170750617981,2018_Aug_24_1534,60.3242661727,emo_stroop,01,ll,
verde,green,,0,1,1,5,,,,,right,0.0853590965271,2018_Aug_24_1534,60.3242661727,emo_stroop,01,ll,
rojo,red,,0,2,2,8,,,,,right,0.0178949832916,2018_Aug_24_1534,60.3242661727,emo_stroop,01,ll,
rojo,blue,,0,3,3,0,,,,,right,0.00168514251709,2018_Aug_24_1534,60.3242661727,emo_stroop,01,ll,
azul,blue,,0,4,4,1,,,,,left,0.0517070293427,2018_Aug_24_1534,60.3242661727,emo_stroop,01,ll,
azul,blue,,0,5,5,2,,,,,right,0.0846178531647,2018_Aug_24_1534,60.3242661727,emo_stroop,01,ll,
rojo,red,,0,6,6,9,,,,,left,0.100839138031,2018_Aug_24_1534,60.3242661727,emo_stroop,01,ll,
rojo,red,,0,7,7,10,,,,,right,0.0515840053558,2018_Aug_24_1534,60.3242661727,emo_stroop,01,ll,
verde,green,,0,8,8,4,,,,,left,0.08345079422,2018_Aug_24_1534,60.3242661727,emo_stroop,01,ll,
verde,green,,0,9,9,7,,,,,left,0.00149512290955,2018_Aug_24_1534,60.3242661727,emo_stroop,01,ll,
rojo,red,,0,10,10,11,,,,,right,0.119140148163,2018_Aug_24_1534,60.3242661727,emo_stroop,01,ll,
azul,blue,,0,11,11,3,,,,,left,0.101157903671,2018_Aug_24_1534,60.3242661727,emo_stroop,01,ll,
positiva1,blue,positive,,,,,0,0,0,0,left,0.533549070358,2018_Aug_24_1534,60.3242661727,emo_stroop,01,ll,
positiva3,red,positive,,,,,0,1,1,6,left,0.383829116821,2018_Aug_24_1534,60.3242661727,emo_stroop,01,ll,
neutral1,blue,neutral,,,,,0,2,2,2,left,0.333771944046,2018_Aug_24_1534,60.3242661727,emo_stroop,01,ll,
negativa3,red,negative,,,,,0,3,3,7,left,0.268378973007,2018_Aug_24_1534,60.3242661727,emo_stroop,01,ll,
negativa2,green,negative,,,,,0,4,4,4,left,0.3849401474,2018_Aug_24_1534,60.3242661727,emo_stroop,01,ll,
neutral2,green,neutral,,,,,0,5,5,5,left,0.301026821136,2018_Aug_24_1534,60.3242661727,emo_stroop,01,ll,
negativa1,blue,negative,,,,,0,6,6,1,left,0.368245840073,2018_Aug_24_1534,60.3242661727,emo_stroop,01,ll,
positiva2,green,positive,,,,,0,7,7,3,left,0.384197950363,2018_Aug_24_1534,60.3242661727,emo_stroop,01,ll,
neutral3,red,neutral,,,,,0,8,8,8,left,0.300335884094,2018_Aug_24_1534,60.3242661727,emo_stroop,01,ll,
