text,corrAns,letterColor,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,left,red,,0,0,0,11,,,,,,,,,left,1,5.98777699471,2018_Sep_05_1231,60.2307961836,emo_stroop,01,ll,
rojo,right,blue,,0,1,1,0,,,,,,,,,left,0,0.300472021103,2018_Sep_05_1231,60.2307961836,emo_stroop,01,ll,
azul,right,blue,,0,2,2,3,,,,,,,,,right,1,1.66443514824,2018_Sep_05_1231,60.2307961836,emo_stroop,01,ll,
verde,down,green,,0,3,3,4,,,,,,,,,right,0,0.101155042648,2018_Sep_05_1231,60.2307961836,emo_stroop,01,ll,
azul,right,blue,,0,4,4,1,,,,,,,,,right,1,1.57974910736,2018_Sep_05_1231,60.2307961836,emo_stroop,01,ll,
verde,down,green,,0,5,5,5,,,,,,,,,right,0,1.13242602348,2018_Sep_05_1231,60.2307961836,emo_stroop,01,ll,
verde,down,green,,0,6,6,6,,,,,,,,,right,0,1.11553883553,2018_Sep_05_1231,60.2307961836,emo_stroop,01,ll,
rojo,left,red,,0,7,7,9,,,,,,,,,right,0,0.0181980133057,2018_Sep_05_1231,60.2307961836,emo_stroop,01,ll,
azul,right,blue,,0,8,8,2,,,,,,,,,right,1,0.516174077988,2018_Sep_05_1231,60.2307961836,emo_stroop,01,ll,
rojo,left,red,,0,9,9,8,,,,,,,,,right,0,0.33397603035,2018_Sep_05_1231,60.2307961836,emo_stroop,01,ll,
rojo,left,red,,0,10,10,10,,,,,,,,,right,0,0.433929920197,2018_Sep_05_1231,60.2307961836,emo_stroop,01,ll,
verde,down,green,,0,11,11,7,,,,,,,,,right,0,0.134502887726,2018_Sep_05_1231,60.2307961836,emo_stroop,01,ll,
positiva6,left,red,positive,,,,,0,0,0,0,0,0,0,5,right,0,0.617104053497,2018_Sep_05_1231,60.2307961836,emo_stroop,01,ll,
negativa6,left,red,negative,,,,,0,0,0,0,0,1,1,6,right,0,0.434353113174,2018_Sep_05_1231,60.2307961836,emo_stroop,01,ll,
positiva5,down,green,positive,,,,,0,0,0,0,0,2,2,2,left,0,2.81151509285,2018_Sep_05_1231,60.2307961836,emo_stroop,01,ll,
negativa5,down,green,negative,,,,,0,0,0,0,0,3,3,3,left,0,0.0513660907745,2018_Sep_05_1231,60.2307961836,emo_stroop,01,ll,
neutral4,right,blue,neutral,,,,,0,0,0,0,0,4,4,1,left,0,0.151218891144,2018_Sep_05_1231,60.2307961836,emo_stroop,01,ll,
neutral6,left,red,neutral,,,,,0,0,0,0,0,5,5,7,left,1,0.317413806915,2018_Sep_05_1231,60.2307961836,emo_stroop,01,ll,
negativa4,right,blue,negative,,,,,0,0,0,0,0,6,6,0,left,0,0.150125026703,2018_Sep_05_1231,60.2307961836,emo_stroop,01,ll,
neutral5,down,green,neutral,,,,,0,0,0,0,0,7,7,4,left,0,0.267729997635,2018_Sep_05_1231,60.2307961836,emo_stroop,01,ll,
,,,,,,,,0,0,0,0,,,,,,,,2018_Sep_05_1231,60.2307961836,emo_stroop,01,ll,
neutral1,right,blue,neutral,,,,,1,0,1,0,0,0,0,1,left,0,0.483594179153,2018_Sep_05_1231,60.2307961836,emo_stroop,01,ll,
negativa1,right,blue,negative,,,,,1,0,1,0,0,1,1,0,left,0,0.0514190196991,2018_Sep_05_1231,60.2307961836,emo_stroop,01,ll,
negativa2,down,green,negative,,,,,1,0,1,0,0,2,2,3,left,0,0.051176071167,2018_Sep_05_1231,60.2307961836,emo_stroop,01,ll,
positiva3,left,red,positive,,,,,1,0,1,0,0,3,3,5,left,1,0.184455156326,2018_Sep_05_1231,60.2307961836,emo_stroop,01,ll,
neutral3,left,red,neutral,,,,,1,0,1,0,0,4,4,7,left,1,0.0679969787598,2018_Sep_05_1231,60.2307961836,emo_stroop,01,ll,
negativa3,left,red,negative,,,,,1,0,1,0,0,5,5,6,left,1,0.00154495239258,2018_Sep_05_1231,60.2307961836,emo_stroop,01,ll,
neutral2,down,green,neutral,,,,,1,0,1,0,0,6,6,4,left,0,0.234273910522,2018_Sep_05_1231,60.2307961836,emo_stroop,01,ll,
positiva2,down,green,positive,,,,,1,0,1,0,0,7,7,2,right,0,1.49807906151,2018_Sep_05_1231,60.2307961836,emo_stroop,01,ll,
,,,,,,,,1,0,1,0,,,,,,,,2018_Sep_05_1231,60.2307961836,emo_stroop,01,ll,
