text,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,left,red,0,0,0,9,right,0,0.00155019760132,2018_Aug_24_2000,60.3362415576,emo_stroop,01,m,
azul,right,blue,0,1,1,1,right,1,0.118577003479,2018_Aug_24_2000,60.3362415576,emo_stroop,01,m,
verde,down,green,0,2,2,6,right,0,0.000375032424927,2018_Aug_24_2000,60.3362415576,emo_stroop,01,m,
verde,down,green,0,3,3,4,right,0,0.100769996643,2018_Aug_24_2000,60.3362415576,emo_stroop,01,m,
azul,right,blue,0,4,4,3,right,1,0.0669150352478,2018_Aug_24_2000,60.3362415576,emo_stroop,01,m,
rojo,left,red,0,5,5,10,right,0,0.00140500068665,2018_Aug_24_2000,60.3362415576,emo_stroop,01,m,
rojo,left,red,0,6,6,11,right,0,0.0850629806519,2018_Aug_24_2000,60.3362415576,emo_stroop,01,m,
rojo,right,blue,0,7,7,0,right,1,0.0681889057159,2018_Aug_24_2000,60.3362415576,emo_stroop,01,m,
rojo,left,red,0,8,8,8,right,0,0.0845069885254,2018_Aug_24_2000,60.3362415576,emo_stroop,01,m,
azul,right,blue,0,9,9,2,right,1,0.117985010147,2018_Aug_24_2000,60.3362415576,emo_stroop,01,m,
verde,down,green,0,10,10,5,right,0,4.82285904884,2018_Aug_24_2000,60.3362415576,emo_stroop,01,m,
verde,down,green,0,11,11,7,right,0,0.051167011261,2018_Aug_24_2000,60.3362415576,emo_stroop,01,m,
