text,corrAns,letterColor,condsFile,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,left,red,,,0,0,0,11,,,,,,,,,left,1,0.766511917114,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
verde,down,green,,,0,1,1,7,,,,,,,,,down,1,0.499917984009,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
azul,right,blue,,,0,2,2,3,,,,,,,,,right,1,0.383749008179,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
verde,down,green,,,0,3,3,4,,,,,,,,,down,1,0.583106994629,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
rojo,right,blue,,,0,4,4,0,,,,,,,,,right,1,0.633353948593,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
verde,down,green,,,0,5,5,5,,,,,,,,,down,1,0.831339120865,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
azul,right,blue,,,0,6,6,2,,,,,,,,,down,0,0.433539867401,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
verde,down,green,,,0,7,7,6,,,,,,,,,down,1,0.816071033478,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
rojo,left,red,,,0,8,8,10,,,,,,,,,left,1,0.666399002075,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
rojo,left,red,,,0,9,9,8,,,,,,,,,down,0,0.449805021286,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
azul,right,blue,,,0,10,10,1,,,,,,,,,right,1,0.932137966156,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
rojo,left,red,,,0,11,11,9,,,,,,,,,left,1,0.716204166412,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
positiva1,right,blue,exp_trials_block1.csv,positive,,,,,0,0,0,0,0,0,0,0,left,0,0.816194057465,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
negativa1,right,blue,exp_trials_block1.csv,negative,,,,,0,0,0,0,0,1,1,1,left,0,0.367619991302,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
negativa3,left,red,exp_trials_block1.csv,negative,,,,,0,0,0,0,0,2,2,7,left,1,0.251085042953,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
negativa2,down,green,exp_trials_block1.csv,negative,,,,,0,0,0,0,0,3,3,4,left,0,0.251054048538,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
positiva3,left,red,exp_trials_block1.csv,positive,,,,,0,0,0,0,0,4,4,6,left,1,0.167883872986,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
neutral3,left,red,exp_trials_block1.csv,neutral,,,,,0,0,0,0,0,5,5,8,left,1,0.118070840836,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
positiva2,down,green,exp_trials_block1.csv,positive,,,,,0,0,0,0,0,6,6,3,left,0,0.267413139343,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
neutral1,right,blue,exp_trials_block1.csv,neutral,,,,,0,0,0,0,0,7,7,2,left,0,0.267486095428,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
