text,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,condsFile,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
verde,down,green,0,0,0,5,,,,,,left,0,0.982540130615,2018_Aug_24_1938,60.3114282879,emo_stroop,01,mario,
verde,down,green,0,1,1,7,,,,,,down,1,0.26788687706,2018_Aug_24_1938,60.3114282879,emo_stroop,01,mario,
verde,down,green,0,2,2,4,,,,,,down,1,0.217828989029,2018_Aug_24_1938,60.3114282879,emo_stroop,01,mario,
rojo,left,red,0,3,3,11,,,,,,down,0,0.201076030731,2018_Aug_24_1938,60.3114282879,emo_stroop,01,mario,
azul,right,blue,0,4,4,3,,,,,,down,0,0.317213058472,2018_Aug_24_1938,60.3114282879,emo_stroop,01,mario,
rojo,right,blue,0,5,5,0,,,,,,down,0,0.283763885498,2018_Aug_24_1938,60.3114282879,emo_stroop,01,mario,
azul,right,blue,0,6,6,1,,,,,,down,0,0.250433921814,2018_Aug_24_1938,60.3114282879,emo_stroop,01,mario,
rojo,left,red,0,7,7,8,,,,,,down,0,0.317318916321,2018_Aug_24_1938,60.3114282879,emo_stroop,01,mario,
rojo,left,red,0,8,8,10,,,,,,down,0,0.0185780525208,2018_Aug_24_1938,60.3114282879,emo_stroop,01,mario,
rojo,left,red,0,9,9,9,,,,,,left,1,0.798748970032,2018_Aug_24_1938,60.3114282879,emo_stroop,01,mario,
azul,right,blue,0,10,10,2,,,,,,right,1,0.533488988876,2018_Aug_24_1938,60.3114282879,emo_stroop,01,mario,
verde,down,green,0,11,11,6,,,,,,down,1,0.599946022034,2018_Aug_24_1938,60.3114282879,emo_stroop,01,mario,
