text,corrAns,letterColor,condsFile,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,left,red,,,0,0,0,8,,,,,,,,,left,1,0.0676279067993,2018_Aug_24_2007,60.1261496823,emo_stroop,01,mm,
azul,right,blue,,,0,1,1,3,,,,,,,,,down,0,0.0844490528107,2018_Aug_24_2007,60.1261496823,emo_stroop,01,mm,
rojo,left,red,,,0,2,2,11,,,,,,,,,right,0,0.117506027222,2018_Aug_24_2007,60.1261496823,emo_stroop,01,mm,
verde,down,green,,,0,3,3,5,,,,,,,,,left,0,0.0179069042206,2018_Aug_24_2007,60.1261496823,emo_stroop,01,mm,
verde,down,green,,,0,4,4,7,,,,,,,,,right,0,0.101367950439,2018_Aug_24_2007,60.1261496823,emo_stroop,01,mm,
verde,down,green,,,0,5,5,6,,,,,,,,,down,1,0.00171089172363,2018_Aug_24_2007,60.1261496823,emo_stroop,01,mm,
verde,down,green,,,0,6,6,4,,,,,,,,,down,1,0.00136399269104,2018_Aug_24_2007,60.1261496823,emo_stroop,01,mm,
rojo,left,red,,,0,7,7,9,,,,,,,,,right,0,0.0347599983215,2018_Aug_24_2007,60.1261496823,emo_stroop,01,mm,
azul,right,blue,,,0,8,8,1,,,,,,,,,left,0,0.0183448791504,2018_Aug_24_2007,60.1261496823,emo_stroop,01,mm,
rojo,left,red,,,0,9,9,10,,,,,,,,,left,1,0.0677971839905,2018_Aug_24_2007,60.1261496823,emo_stroop,01,mm,
azul,right,blue,,,0,10,10,2,,,,,,,,,left,0,0.0350480079651,2018_Aug_24_2007,60.1261496823,emo_stroop,01,mm,
rojo,right,blue,,,0,11,11,0,,,,,,,,,left,0,0.251008987427,2018_Aug_24_2007,60.1261496823,emo_stroop,01,mm,
positiva5,down,green,None,positive,,,,,0,0,0,0,0,0,0,2,right,0,1.21512007713,2018_Aug_24_2007,60.1261496823,emo_stroop,01,mm,
positiva6,left,red,None,positive,,,,,0,0,0,0,0,1,1,5,right,0,0.367098093033,2018_Aug_24_2007,60.1261496823,emo_stroop,01,mm,
negativa6,left,red,None,negative,,,,,0,0,0,0,0,2,2,6,right,0,0.284204959869,2018_Aug_24_2007,60.1261496823,emo_stroop,01,mm,
neutral5,down,green,None,neutral,,,,,0,0,0,0,0,3,3,4,right,0,0.317239999771,2018_Aug_24_2007,60.1261496823,emo_stroop,01,mm,
negativa4,right,blue,None,negative,,,,,0,0,0,0,0,4,4,0,right,1,0.400670051575,2018_Aug_24_2007,60.1261496823,emo_stroop,01,mm,
negativa5,down,green,None,negative,,,,,0,0,0,0,0,5,5,3,right,0,0.434185028076,2018_Aug_24_2007,60.1261496823,emo_stroop,01,mm,
neutral6,left,red,None,neutral,,,,,0,0,0,0,0,6,6,7,right,0,0.283784866333,2018_Aug_24_2007,60.1261496823,emo_stroop,01,mm,
neutral4,right,blue,None,neutral,,,,,0,0,0,0,0,7,7,1,right,1,0.332782030106,2018_Aug_24_2007,60.1261496823,emo_stroop,01,mm,
positiva5,down,green,None,positive,,,,,0,0,0,0,1,0,8,2,right,0,0.300534009933,2018_Aug_24_2007,60.1261496823,emo_stroop,01,mm,
neutral5,down,green,None,neutral,,,,,0,0,0,0,1,1,9,4,right,0,1.3980858326,2018_Aug_24_2007,60.1261496823,emo_stroop,01,mm,
negativa4,right,blue,None,negative,,,,,0,0,0,0,1,2,10,0,right,1,1.16569113731,2018_Aug_24_2007,60.1261496823,emo_stroop,01,mm,
