text,corrAns,letterColor,condsFile,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
azul,right,blue,,,0,0,0,1,,,,,,,,,down,0,18.9393398762,2018_Aug_29_0934,60.0802444289,emo_stroop,01,n,
azul,right,blue,,,0,1,1,2,,,,,,,,,right,1,0.0522692203522,2018_Aug_29_0934,60.0802444289,emo_stroop,01,n,
rojo,right,blue,,,0,2,2,0,,,,,,,,,left,0,0.167948961258,2018_Aug_29_0934,60.0802444289,emo_stroop,01,n,
verde,down,green,,,0,3,3,6,,,,,,,,,left,0,0.00153398513794,2018_Aug_29_0934,60.0802444289,emo_stroop,01,n,
rojo,left,red,,,0,4,4,9,,,,,,,,,left,1,0.43358707428,2018_Aug_29_0934,60.0802444289,emo_stroop,01,n,
verde,down,green,,,0,5,5,7,,,,,,,,,left,0,0.300809144974,2018_Aug_29_0934,60.0802444289,emo_stroop,01,n,
rojo,left,red,,,0,6,6,11,,,,,,,,,left,1,0.0680201053619,2018_Aug_29_0934,60.0802444289,emo_stroop,01,n,
rojo,left,red,,,0,7,7,8,,,,,,,,,right,0,4.25804281235,2018_Aug_29_0934,60.0802444289,emo_stroop,01,n,
verde,down,green,,,0,8,8,5,,,,,,,,,left,0,0.849703073502,2018_Aug_29_0934,60.0802444289,emo_stroop,01,n,
rojo,left,red,,,0,9,9,10,,,,,,,,,left,1,0.0182569026947,2018_Aug_29_0934,60.0802444289,emo_stroop,01,n,
azul,right,blue,,,0,10,10,3,,,,,,,,,right,1,0.250943899155,2018_Aug_29_0934,60.0802444289,emo_stroop,01,n,
verde,down,green,,,0,11,11,4,,,,,,,,,right,0,0.383821964264,2018_Aug_29_0934,60.0802444289,emo_stroop,01,n,
negativa3,left,red,None,negative,,,,,0,0,0,0,0,0,0,6,right,0,0.400325059891,2018_Aug_29_0934,60.0802444289,emo_stroop,01,n,
positiva3,left,red,None,positive,,,,,0,0,0,0,0,1,1,5,right,0,0.250720024109,2018_Aug_29_0934,60.0802444289,emo_stroop,01,n,
neutral3,left,red,None,neutral,,,,,0,0,0,0,0,2,2,7,right,0,0.284280061722,2018_Aug_29_0934,60.0802444289,emo_stroop,01,n,
neutral2,down,green,None,neutral,,,,,0,0,0,0,0,3,3,4,right,0,0.351285934448,2018_Aug_29_0934,60.0802444289,emo_stroop,01,n,
negativa2,down,green,None,negative,,,,,0,0,0,0,0,4,4,3,right,0,0.251035928726,2018_Aug_29_0934,60.0802444289,emo_stroop,01,n,
negativa1,right,blue,"slice(10,18)",negative,,,,,0,0,0,0,0,5,5,0,right,1,0.334091901779,2018_Aug_29_0934,60.0802444289,emo_stroop,01,n,
positiva2,down,green,None,positive,,,,,0,0,0,0,0,6,6,2,right,0,0.267627000809,2018_Aug_29_0934,60.0802444289,emo_stroop,01,n,
neutral1,right,blue,None,neutral,,,,,0,0,0,0,0,7,7,1,right,1,0.216704130173,2018_Aug_29_0934,60.0802444289,emo_stroop,01,n,
,,,,,,,,,0,0,0,0,,,,,,,,2018_Aug_29_0934,60.0802444289,emo_stroop,01,n,
