text,letterColor,corrAns,condition,trigger
pedo,blue,j,negative,1
giro,blue,j,neutral,2
luna,blue,j,positive,3
metástasis,green,space,negative,1
arriesgado,green,space,neutral,2
perseverar,green,space,positive,3
timado,red,f,negative,1
apilar,red,f,neutral,2
pasear,red,f,positive,3
herir,blue,j,negative,1
forma,blue,j,neutral,2
paseo,blue,j,positive,3
aterrar,green,space,negative,1
parcial,green,space,neutral,2
aclamar,green,space,positive,3
escupir,red,f,negative,1
dormilón,red,f,neutral,2
relación,red,f,positive,3
torear,blue,j,negative,1
llamar,blue,j,neutral,2
cantar,blue,j,positive,3
cazar,green,space,negative,1
ancho,green,space,neutral,2
jugar,green,space,positive,3
lesionar,red,f,negative,1
garganta,red,f,neutral,2
positivo,red,f,positive,3
falsear,blue,j,negative,1
atender,blue,j,neutral,2
fortuna,blue,j,positive,3
parásito,green,space,negative,1
chimenea,green,space,neutral,2
chistoso,green,space,positive,3
oloroso,red,f,negative,1
similar,red,f,neutral,2
sonrisa,red,f,positive,3
terremoto,blue,j,negative,1
inscribir,blue,j,neutral,2
bienestar,blue,j,positive,3
desmayo,green,space,negative,1
pólvora,green,space,neutral,2
sincero,green,space,positive,3
ridículo,red,f,negative,1
producto,red,f,neutral,2
novedoso,red,f,positive,3
purulento,blue,j,negative,1
suscribir,blue,j,neutral,2
preparado,blue,j,positive,3
repugnar,green,space,negative,1
despacho,green,space,neutral,2
aplaudir,green,space,positive,3
inquietar,red,f,negative,1
atravesar,red,f,neutral,2
perfumado,red,f,positive,3
maloliente,blue,j,negative,1
muestrario,blue,j,neutral,2
confidente,blue,j,positive,3
muro,green,space,negative,1
orar,green,space,neutral,2
amar,green,space,positive,3
celda,red,f,negative,1
frase,red,f,neutral,2
baile,red,f,positive,3
derrumbar,blue,j,negative,1
implantar,blue,j,neutral,2
serenidad,blue,j,positive,3
muñón,green,space,negative,1
metro,green,space,neutral,2
broma,green,space,positive,3
padecer,red,f,negative,1
azulejo,red,f,neutral,2
íntegro,red,f,positive,3
apendicitis,blue,j,negative,1
translúcido,blue,j,neutral,2
inteligente,blue,j,positive,3
monstruo,green,space,negative,1
engrosar,green,space,neutral,2
aplausos,green,space,positive,3
alarma,red,f,negative,1
mimado,red,f,neutral,2
fresco,red,f,positive,3
marginación,blue,j,negative,1
desenroscar,blue,j,neutral,2
entusiasmar,blue,j,positive,3
enfadar,green,space,negative,1
liviano,green,space,neutral,2
posible,green,space,positive,3
monstruoso,red,f,negative,1
meticuloso,red,f,neutral,2
consciente,red,f,positive,3
agonizar,blue,j,negative,1
advertir,blue,j,neutral,2
humildad,blue,j,positive,3
zopenco,green,space,negative,1
esbozar,green,space,neutral,2
ternura,green,space,positive,3
denigrar,red,f,negative,1
espacial,red,f,neutral,2
creativo,red,f,positive,3
estallar,blue,j,negative,1
sencillo,blue,j,neutral,2
favorito,blue,j,positive,3
abismo,green,space,negative,1
apodar,green,space,neutral,2
clavel,green,space,positive,3
robo,red,f,negative,1
seco,red,f,neutral,2
agua,red,f,positive,3
tétrico,blue,j,negative,1
gráfico,blue,j,neutral,2
piscina,blue,j,positive,3
quimioterapia,green,space,negative,1
septentrional,green,space,neutral,2
sobresaliente,green,space,positive,3
hinchado,red,f,negative,1
negociar,red,f,neutral,2
dinámico,red,f,positive,3
estrangular,blue,j,negative,1
sistemático,blue,j,neutral,2
hidromasaje,blue,j,positive,3
armar,green,space,negative,1
nivel,green,space,neutral,2
noche,green,space,positive,3
humillación,red,f,negative,1
escurridizo,red,f,neutral,2
celebración,red,f,positive,3
ahorcar,blue,j,negative,1
pensión,blue,j,neutral,2
regalar,blue,j,positive,3
estricto,green,space,negative,1
esquilar,green,space,neutral,2
luminoso,green,space,positive,3
perder,red,f,negative,1
racial,red,f,neutral,2
paella,red,f,positive,3
nazi,blue,j,negative,1
cosa,blue,j,neutral,2
reír,blue,j,positive,3
fallecer,green,space,negative,1
triturar,green,space,neutral,2
encantar,green,space,positive,3
insultado,red,f,negative,1
contrario,red,f,neutral,2
fortaleza,red,f,positive,3
